race_id,avg_score,max_score,min_score,std_score,avg_age,racer_count,avg_win_rate,max_win_rate,avg_place_rate,max_place_rate,score_gap,nige_count,oikomi_count,ryo_count,sashi_count,makuri_count,front_runner_pressure,combination,payout_3rentan,payout_popularity,is_over_30,is_over_50,is_over_100,is_popular_50plus,is_popular_100plus,is_popular_150plus
2420250609010001,82.10000000000001,88.8,77.33,4.487545728643516,37.857142857142854,7,0.048428571428571425,0.238,0.2925714285714286,0.619,11.469999999999999,3,3,1,0,0,0.42857142857142855,4-2-3,1870,8,0,0,0,0,0,0
2420250609010002,72.39,88.62,0.0,32.01763836804125,42.142857142857146,7,0.09242857142857143,0.208,0.38500000000000006,0.75,88.62,2,3,2,0,0,0.2857142857142857,7-4-2,470,1,0,0,0,0,0,0
2420250609010003,82.78142857142858,89.66,76.78,4.56751365103389,38.714285714285715,7,0.08328571428571428,0.277,0.3014285714285715,0.666,12.879999999999995,2,4,1,0,0,0.2857142857142857,7-5-1,280,2,0,0,0,0,0,0
2420250609010004,84.55571428571429,91.46,78.03,5.097018269350742,44.714285714285715,7,0.134,0.562,0.43457142857142855,0.75,13.429999999999993,1,5,1,0,0,0.14285714285714285,7-1-4,150,1,0,0,0,0,0,0
2420250609010005,91.99571428571429,93.85,89.84,1.5222555320188218,34.714285714285715,7,0.2697142857142857,0.428,0.6302857142857142,0.761,4.009999999999991,3,3,1,0,0,0.42857142857142855,5-6-7,73170,187,1,1,0,1,1,1
2420250609010006,99.60285714285715,104.44,96.35,2.8638942850933717,38.142857142857146,7,0.18485714285714286,0.523,0.45057142857142857,0.714,8.090000000000003,2,3,2,0,0,0.2857142857142857,4-1-2,8780,33,0,0,0,0,0,0
2420250609010007,99.78428571428572,104.9,93.64,3.791454677485755,38.0,7,0.09814285714285716,0.26,0.32128571428571423,0.565,11.260000000000005,1,5,1,0,0,0.14285714285714285,4-3-7,620,2,0,0,0,0,0,0
2420250609010008,100.61142857142856,106.28,95.19,4.276113611569228,40.285714285714285,7,0.10757142857142857,0.227,0.34614285714285714,0.52,11.090000000000003,2,5,0,0,0,0.2857142857142857,3-2-5,4470,16,0,0,0,0,0,0
2420250609010009,98.73285714285714,104.16,92.4,4.321850353285092,39.57142857142857,7,0.10614285714285714,0.29,0.34628571428571425,0.58,11.759999999999991,1,4,2,0,0,0.14285714285714285,4-2-3,2860,13,0,0,0,0,0,0
2420250609010010,100.61,106.35,94.43,4.608119645437457,38.42857142857143,7,0.16271428571428573,0.333,0.48628571428571427,1.0,11.919999999999987,2,3,2,0,0,0.2857142857142857,2-7-3,730,2,0,0,0,0,0,0
2420250609010011,99.33714285714287,106.96,92.84,5.032599441924342,36.57142857142857,7,0.09685714285714285,0.346,0.3164285714285714,0.692,14.11999999999999,2,3,2,0,0,0.2857142857142857,1-4-5,600,1,0,0,0,0,0,0
2420250609010012,111.95,116.78,110.21,2.509641408647856,34.42857142857143,7,0.26085714285714284,0.631,0.5068571428571429,0.736,6.570000000000007,0,2,5,0,0,0.0,6-7-4,74910,176,1,1,0,1,1,1
