place,race_date_id,race_count
hakodate,11202304130100,9
hakodate,11202304130100,9
hakodate,11202304130100,9
hakodate,11202304130200,9
hakodate,11202304130200,9
hakodate,11202304130200,9
hakodate,11202304130300,9
hakodate,11202304130300,9
hakodate,11202304130300,9
hakodate,11202304190100,9
hakodate,11202304190100,9
hakodate,11202304190100,9
hakodate,11202304190200,9
hakodate,11202304190200,9
hakodate,11202304190200,9
hakodate,11202304190300,9
hakodate,11202304190300,9
hakodate,11202304190300,9
hakodate,11202304270100,12
hakodate,11202304270100,12
hakodate,11202304270100,12
hakodate,11202304270200,12
hakodate,11202304270200,12
hakodate,11202304270200,12
hakodate,11202304270300,12
hakodate,11202304270300,12
hakodate,11202304270300,12
hakodate,11202305010100,7
hakodate,11202305010100,7
hakodate,11202305010100,7
hakodate,11202305010200,7
hakodate,11202305010200,7
hakodate,11202305010200,7
hakodate,11202305010300,7
hakodate,11202305010300,7
hakodate,11202305010300,7
hakodate,11202305130100,12
hakodate,11202305130100,12
hakodate,11202305130100,12
hakodate,11202305130100,12
hakodate,11202305130200,12
hakodate,11202305130200,12
hakodate,11202305130200,12
hakodate,11202305130200,12
hakodate,11202305130300,12
hakodate,11202305130300,12
hakodate,11202305130300,12
hakodate,11202305130300,12
hakodate,11202305130400,12
hakodate,11202305130400,12
hakodate,11202305130400,12
hakodate,11202305130400,12
hakodate,11202305230100,12
hakodate,11202305230100,12
hakodate,11202305230100,12
hakodate,11202305230200,12
hakodate,11202305230200,12
hakodate,11202305230200,12
hakodate,11202305230300,12
hakodate,11202305230300,12
hakodate,11202305230300,12
hakodate,11202306030100,12
hakodate,11202306030100,12
hakodate,11202306030100,12
hakodate,11202306030200,12
hakodate,11202306030200,12
hakodate,11202306030200,12
hakodate,11202306030300,12
hakodate,11202306030300,12
hakodate,11202306030300,12
hakodate,11202306080100,12
hakodate,11202306080100,12
hakodate,11202306080100,12
hakodate,11202306080200,12
hakodate,11202306080200,12
hakodate,11202306080200,12
hakodate,11202306080300,12
hakodate,11202306080300,12
hakodate,11202306080300,12
hakodate,11202306130100,9
hakodate,11202306130100,9
hakodate,11202306130100,9
hakodate,11202306130200,9
hakodate,11202306130200,9
hakodate,11202306130200,9
hakodate,11202306130300,9
hakodate,11202306130300,9
hakodate,11202306130300,9
hakodate,11202306220100,12
hakodate,11202306220100,12
hakodate,11202306220100,12
hakodate,11202306220200,12
hakodate,11202306220200,12
hakodate,11202306220200,12
hakodate,11202306220300,12
hakodate,11202306220300,12
hakodate,11202306220300,12
hakodate,11202306280100,9
hakodate,11202306280100,9
hakodate,11202306280100,9
hakodate,11202306280200,9
hakodate,11202306280200,9
