race_id,avg_score,max_score,min_score,std_score,avg_age,racer_count,avg_win_rate,max_win_rate,avg_place_rate,max_place_rate,score_gap,nige_count,oikomi_count,ryo_count,sashi_count,makuri_count,front_runner_pressure,combination,payout_3rentan,payout_popularity,is_over_30,is_over_50,is_over_100,is_popular_50plus,is_popular_100plus,is_popular_150plus
1120230413010001,69.83857142857143,73.25,66.66,2.4089100479361263,40.285714285714285,7,0.1044285714285714,0.259,0.409,0.583,6.590000000000003,3,4,0,0,0,0.4285714285714285,2-1-4,3070,10,0,0,0,0,0,0
1120230413010002,70.75,76.03,67.23,2.9801342251650325,35.57142857142857,7,0.1311428571428571,0.227,0.4372857142857143,0.814,8.799999999999997,3,3,1,0,0,0.4285714285714285,6-7-3,22780,62,0,0,0,1,0,0
1120230413010003,70.29714285714286,75.58,66.77,3.3696869997361008,46.57142857142857,7,0.1619999999999999,0.379,0.4362857142857143,0.75,8.810000000000002,2,3,2,0,0,0.2857142857142857,2-1-3,660,1,0,0,0,0,0,0
1120230413010004,69.91142857142857,78.41,64.8,4.525739087233626,43.71428571428572,7,0.1462857142857143,0.666,0.395,0.875,13.61,2,5,0,0,0,0.2857142857142857,1-6-4,26960,31,0,0,0,0,0,0
1120230413010005,83.97428571428573,86.72,79.87,2.468979932028996,37.0,7,0.121,0.185,0.4232857142857143,0.555,6.849999999999994,3,4,0,0,0,0.4285714285714285,1-3-5,3860,13,0,0,0,0,0,0
1120230413010006,84.4742857142857,87.5,80.3,2.543081183281793,41.85714285714285,7,0.1174285714285714,0.238,0.4348571428571429,0.619,7.200000000000003,2,4,1,0,0,0.2857142857142857,2-1-3,3030,12,0,0,0,0,0,0
1120230413010007,82.97,88.04,78.46,3.624881607262046,38.0,7,0.2148571428571428,0.733,0.4517142857142857,0.933,9.580000000000013,3,3,1,0,0,0.4285714285714285,7-4-2,25970,53,0,0,0,1,0,0
1120230413010008,83.89285714285714,88.33,80.11,3.46167451910062,36.85714285714285,7,0.1872857142857142,0.5,0.4455714285714285,0.833,8.219999999999999,2,4,1,0,0,0.2857142857142857,1-2-4,810,2,0,0,0,0,0,0
1120230413010009,90.67,92.75,88.21,1.641848551683954,35.57142857142857,7,0.1867142857142857,0.291,0.5932857142857143,0.666,4.540000000000006,3,4,0,0,0,0.4285714285714285,7-5-2,48170,163,1,0,0,1,1,1
1120230413020001,69.75714285714285,76.03,66.66,3.2715832776894307,42.42857142857143,7,0.1194285714285714,0.222,0.3848571428571428,0.814,9.370000000000005,1,5,1,0,0,0.1428571428571428,4-1-7,121020,131,1,1,1,1,1,0
1120230413020002,68.67571428571429,72.14,64.8,2.501924973181371,48.57142857142857,7,0.0708571428571428,0.321,0.3484285714285714,0.571,7.340000000000003,1,6,0,0,0,0.1428571428571428,1-4-5,1170,3,0,0,0,0,0,0
1120230413020003,71.15142857142857,75.58,66.0,3.168966332899049,35.857142857142854,7,0.1645714285714285,0.259,0.479,0.75,9.579999999999998,4,1,2,0,0,0.5714285714285714,3-2-1,5960,18,0,0,0,0,0,0
1120230413020004,71.21285714285715,78.41,67.23,3.8648359787780335,39.285714285714285,7,0.189,0.666,0.4652857142857143,0.875,11.179999999999993,4,3,0,0,0,0.5714285714285714,1-3-2,1940,6,0,0,0,0,0,0
1120230413020005,82.69857142857143,86.26,80.11,2.5105207200328667,42.85714285714285,7,0.1175714285714285,0.25,0.398,0.571,6.150000000000006,2,5,0,0,0,0.2857142857142857,1-5-6,1060,1,0,0,0,0,0,0
1120230413020006,82.16,88.04,78.95,3.1834677109508536,37.71428571428572,7,0.1037142857142857,0.363,0.3504285714285714,0.59,9.090000000000003,2,3,2,0,0,0.2857142857142857,2-6-1,11770,35,0,0,0,0,0,0
1120230413020007,87.64999999999999,91.44,84.04,2.4590445298936774,40.85714285714285,7,0.2321428571428571,0.5,0.5792857142857143,0.833,7.399999999999991,2,5,0,0,0,0.2857142857142857,2-3-6,2490,6,0,0,0,0,0,0
1120230413020008,86.73857142857142,92.17,78.46,4.77084349135954,34.142857142857146,7,0.2291428571428571,0.733,0.5574285714285715,0.933,13.710000000000008,4,3,0,0,0,0.5714285714285714,7-1-2,750,1,0,0,0,0,0,0
1120230413020009,86.73428571428572,92.75,84.0,3.100622825298472,33.714285714285715,7,0.1447142857142857,0.25,0.4635714285714286,0.666,8.75,3,3,1,0,0,0.4285714285714285,1-2-3,960,1,0,0,0,0,0,0
1120230413030001,69.22166666666668,76.03,64.8,3.907702223387384,42.333333333333336,6,0.0846666666666666,0.222,0.4105,0.814,11.230000000000004,1,5,0,0,0,0.1666666666666666,1-3-4,4130,14,0,0,0,0,0,0
1120230413030002,69.02,71.48,66.66,2.055837217939862,46.142857142857146,7,0.096,0.259,0.322,0.518,4.820000000000007,1,5,1,0,0,0.1428571428571428,1-4-2,2160,9,0,0,0,0,0,0
1120230413030003,69.80428571428571,72.14,68.19,1.424790711448023,43.71428571428572,7,0.0981428571428571,0.321,0.3927142857142857,0.571,3.950000000000003,3,3,1,0,0,0.4285714285714285,1-3-7,4620,12,0,0,0,0,0,0
1120230413030004,82.36,86.72,79.87,2.91989725846647,41.142857142857146,7,0.129,0.25,0.3821428571428571,0.571,6.849999999999994,2,5,0,0,0,0.2857142857142857,1-2-6,8300,17,0,0,0,0,0,0
1120230413030005,82.93142857142857,88.04,78.95,2.8927289801121945,40.142857142857146,7,0.1154285714285714,0.363,0.3644285714285714,0.59,9.090000000000003,2,3,2,0,0,0.2857142857142857,1-5-2,6280,19,0,0,0,0,0,0
1120230413030006,86.08857142857143,91.44,81.14,3.2445617504342508,40.0,7,0.1452857142857142,0.238,0.4978571428571428,0.666,10.299999999999995,3,4,0,0,0,0.4285714285714285,3-2-1,4220,13,0,0,0,0,0,0
1120230413030007,85.96428571428571,89.58,84.06,1.973270188822413,36.142857142857146,7,0.148,0.333,0.4371428571428571,0.583,5.519999999999996,2,4,1,0,0,0.2857142857142857,1-5-3,9340,35,0,0,0,0,0,0
1120230413030008,73.03571428571429,78.41,66.0,3.812754285040576,33.57142857142857,7,0.2771428571428571,0.666,0.5781428571428571,0.875,12.409999999999997,5,1,1,0,0,0.7142857142857143,1-5-2,610,1,0,0,0,0,0,0
1120230413030009,88.63714285714286,92.75,78.46,4.830892651417943,31.857142857142858,7,0.2895714285714286,0.733,0.6671428571428571,0.933,14.290000000000006,4,3,0,0,0,0.5714285714285714,2-5-1,27230,107,0,0,0,1,1,0
1120230419010001,70.13714285714285,77.41,67.1,3.4844928578188425,42.57142857142857,7,0.0957142857142857,0.384,0.3955714285714286,0.846,10.310000000000002,1,6,0,0,0,0.1428571428571428,1-6-5,2700,6,0,0,0,0,0,0
1120230419010002,71.77857142857142,76.56,67.33,3.08948986388491,40.285714285714285,7,0.1517142857142857,0.566,0.4972857142857143,0.766,9.230000000000004,1,6,0,0,0,0.1428571428571428,1-4-6,360,1,0,0,0,0,0,0
1120230419010003,71.38857142857144,76.29,67.33,3.4949078603564008,41.142857142857146,7,0.1705714285714285,0.583,0.4167142857142857,0.761,8.960000000000008,2,4,1,0,0,0.2857142857142857,2-1-4,3990,9,0,0,0,0,0,0
